Pin_1:out_pin_check_successful,Pin_1:local_number_retries,Pin_1:local_pin_test,Pin_1:expected_pin,Pin_1:actual_pin_values,Pin_1:local_test_data_expected,Main_1:loan,Main_1:term,Main_1:loan_type,Main_1:term_type,Main_1:obtained_result,Main_1:pin_check_successful,GraphPath
False,0,False,0,[0]=1237 ; [1]=1237 ; [2]=1234 ; ,,6,1,Low-Volume Loan,Short-Term,Low-Volume Loan Short-Term,False,Main_1:Assign_4 ; Main_1:_Term_test0__12 ; Main_1:Assign_15 ; Main_1:Assign_21 ; Main_1:Virtual_Flowchart_End_26 ; 
False,3,False,1234,[0]=6695 ; [1]=4507 ; [2]=5827 ; [3]=9125 ; [4]=9809 ; [5]=8021 ; [6]=1992 ; [7]=1214 ; [8]=6355 ; [9]=9934 ; ,[[1234]],252595644,9,High-Volume Loan,None,None,False,Main_1:Node_loanTest1_5 ; Main_1:Assign_11 ; Main_1:Invoke_Pin_Check_25 ; Pin_1:Get_expected_pin_value_20 ; Pin_1:Read_CSV_21 ; Pin_1:Set_expected_pin_22 ; Pin_1:If_14 ; Pin_1:Assign_17 ; Pin_1:pinTest0_11 ; Pin_1:Assign_7 ; Pin_1:CheckRetryTest_4 ; Pin_1:If_14 ; Pin_1:Assign_17 ; Pin_1:pinTest0_11 ; Pin_1:Assign_7 ; Pin_1:CheckRetryTest_4 ; Pin_1:If_14 ; Pin_1:Assign_17 ; Pin_1:pinTest0_11 ; Pin_1:Assign_7 ; Pin_1:CheckRetryTest_4 ; Pin_1:Assign_3 ; Pin_1:Virtual_Flowchart_End_26 ; Main_1:CheckedPin_24 ; Main_1:Virtual_Flowchart_End_26 ; 
False,3,False,1234,[0]=8649 ; [1]=1399 ; [2]=2861 ; [3]=4352 ; [4]=3569 ; [5]=1361 ; [6]=4815 ; [7]=3580 ; [8]=7920 ; [9]=6038 ; ,[[1234]],396506488,7,High-Volume Loan,None,None,False,Main_1:Node_loanTest1_5 ; Main_1:Assign_11 ; Main_1:Invoke_Pin_Check_25 ; Pin_1:Get_expected_pin_value_20 ; Pin_1:Read_CSV_21 ; Pin_1:Set_expected_pin_22 ; Pin_1:If_14 ; Pin_1:Assign_17 ; Pin_1:pinTest0_11 ; Pin_1:Assign_7 ; Pin_1:CheckRetryTest_4 ; Pin_1:If_14 ; Pin_1:Assign_17 ; Pin_1:pinTest0_11 ; Pin_1:Assign_7 ; Pin_1:CheckRetryTest_4 ; Pin_1:If_14 ; Pin_1:Assign_17 ; Pin_1:pinTest0_11 ; Pin_1:Assign_7 ; Pin_1:CheckRetryTest_4 ; Pin_1:Assign_3 ; Pin_1:Virtual_Flowchart_End_26 ; Main_1:CheckedPin_24 ; Main_1:Virtual_Flowchart_End_26 ; 
False,0,False,0,[0]=1235 ; ,,100,5,Low-Volume Loan,Long-Term,Low-Volume Loan Long-Term,False,Main_1:Assign_4 ; Main_1:_Term_test0__12 ; Main_1:Assign_18 ; Main_1:Assign_21 ; Main_1:Virtual_Flowchart_End_26 ; 
False,3,False,1234,[0]=6255 ; [1]=9746 ; [2]=9971 ; [3]=1750 ; [4]=9703 ; [5]=1792 ; [6]=3002 ; [7]=3283 ; [8]=6711 ; [9]=7545 ; ,[[1234]],114750666,29,High-Volume Loan,None,None,False,Main_1:Node_loanTest1_5 ; Main_1:Assign_11 ; Main_1:Invoke_Pin_Check_25 ; Pin_1:Get_expected_pin_value_20 ; Pin_1:Read_CSV_21 ; Pin_1:Set_expected_pin_22 ; Pin_1:If_14 ; Pin_1:Assign_17 ; Pin_1:pinTest0_11 ; Pin_1:Assign_7 ; Pin_1:CheckRetryTest_4 ; Pin_1:If_14 ; Pin_1:Assign_17 ; Pin_1:pinTest0_11 ; Pin_1:Assign_7 ; Pin_1:CheckRetryTest_4 ; Pin_1:If_14 ; Pin_1:Assign_17 ; Pin_1:pinTest0_11 ; Pin_1:Assign_7 ; Pin_1:CheckRetryTest_4 ; Pin_1:Assign_3 ; Pin_1:Virtual_Flowchart_End_26 ; Main_1:CheckedPin_24 ; Main_1:Virtual_Flowchart_End_26 ; 
