PinCheckWorkflow_v1_1:in_pin_should_be_correct,PinCheckWorkflow_v1_1:out_pin_check_successful,PinCheckWorkflow_v1_1:local_number_retries,PinCheckWorkflow_v1_1:local_pin_test,Create_Loan_Process_1:loan,Create_Loan_Process_1:term,Create_Loan_Process_1:pin_should_be_correct,Create_Loan_Process_1:loan_type,Create_Loan_Process_1:term_type,Create_Loan_Process_1:obtained_result,Create_Loan_Process_1:pin_check_successful,GraphPath
,,,,999,4,,"""Low-Volume Loan""","""Short-Term""","""Low-Volume Loan Short-Term""",,Create_Loan_Process_1:Node_loanTest0_1 ; Create_Loan_Process_1:Assign_4 ; Create_Loan_Process_1:_Term_test0__12 ; Create_Loan_Process_1:Assign_15 ; Create_Loan_Process_1:Assign_21 ; Create_Loan_Process_1:Virtual_Flowchart_End_26 ; 
,,,,999,5,,"""Low-Volume Loan""","""Long-Term""","""Low-Volume Loan Long-Term""",,Create_Loan_Process_1:Node_loanTest0_1 ; Create_Loan_Process_1:Assign_4 ; Create_Loan_Process_1:_Term_test0__12 ; Create_Loan_Process_1:Assign_18 ; Create_Loan_Process_1:Assign_21 ; Create_Loan_Process_1:Virtual_Flowchart_End_26 ; 
,,,,1000,4,,"""Mid-Volume Loan""","""Short-Term""","""Mid-Volume Loan Short-Term""",,Create_Loan_Process_1:Node_loanTest0_1 ; Create_Loan_Process_1:Node_loanTest1_5 ; Create_Loan_Process_1:Assign_8 ; Create_Loan_Process_1:_Term_test0__12 ; Create_Loan_Process_1:Assign_15 ; Create_Loan_Process_1:Assign_21 ; Create_Loan_Process_1:Virtual_Flowchart_End_26 ; 
,,,,1000,5,,"""Mid-Volume Loan""","""Long-Term""","""Mid-Volume Loan Long-Term""",,Create_Loan_Process_1:Node_loanTest0_1 ; Create_Loan_Process_1:Node_loanTest1_5 ; Create_Loan_Process_1:Assign_8 ; Create_Loan_Process_1:_Term_test0__12 ; Create_Loan_Process_1:Assign_18 ; Create_Loan_Process_1:Assign_21 ; Create_Loan_Process_1:Virtual_Flowchart_End_26 ; 
True,True,,True,100000,4,True,"""High-Volume Loan""","""Short-Term""","""High-Volume Loan Short-Term""",True,Create_Loan_Process_1:Node_loanTest0_1 ; Create_Loan_Process_1:Node_loanTest1_5 ; Create_Loan_Process_1:Assign_11 ; Create_Loan_Process_1:Invoke_Pin_Check_25 ; PinCheckWorkflow_v1_1:CheckPin_11 ; PinCheckWorkflow_v1_1:If_13 ; PinCheckWorkflow_v1_1:Assign_15 ; PinCheckWorkflow_v1_1:Assign_17 ; PinCheckWorkflow_v1_1:pinTest0_10 ; PinCheckWorkflow_v1_1:Assign_9 ; PinCheckWorkflow_v1_1:Virtual_Flowchart_End_20 ; Create_Loan_Process_1:CheckedPin_24 ; Create_Loan_Process_1:_Term_test0__12 ; Create_Loan_Process_1:Assign_15 ; Create_Loan_Process_1:Assign_21 ; Create_Loan_Process_1:Virtual_Flowchart_End_26 ; 
True,True,,True,100000,5,True,"""High-Volume Loan""","""Long-Term""","""High-Volume Loan Long-Term""",True,Create_Loan_Process_1:Node_loanTest0_1 ; Create_Loan_Process_1:Node_loanTest1_5 ; Create_Loan_Process_1:Assign_11 ; Create_Loan_Process_1:Invoke_Pin_Check_25 ; PinCheckWorkflow_v1_1:CheckPin_11 ; PinCheckWorkflow_v1_1:If_13 ; PinCheckWorkflow_v1_1:Assign_15 ; PinCheckWorkflow_v1_1:Assign_17 ; PinCheckWorkflow_v1_1:pinTest0_10 ; PinCheckWorkflow_v1_1:Assign_9 ; PinCheckWorkflow_v1_1:Virtual_Flowchart_End_20 ; Create_Loan_Process_1:CheckedPin_24 ; Create_Loan_Process_1:_Term_test0__12 ; Create_Loan_Process_1:Assign_18 ; Create_Loan_Process_1:Assign_21 ; Create_Loan_Process_1:Virtual_Flowchart_End_26 ; 
False,False,3,False,100000,,False,"""High-Volume Loan""",,,False,Create_Loan_Process_1:Node_loanTest0_1 ; Create_Loan_Process_1:Node_loanTest1_5 ; Create_Loan_Process_1:Assign_11 ; Create_Loan_Process_1:Invoke_Pin_Check_25 ; PinCheckWorkflow_v1_1:CheckPin_11 ; PinCheckWorkflow_v1_1:If_13 ; PinCheckWorkflow_v1_1:Assign_16 ; PinCheckWorkflow_v1_1:Assign_17 ; PinCheckWorkflow_v1_1:pinTest0_10 ; PinCheckWorkflow_v1_1:CheckRetryTest_4 ; PinCheckWorkflow_v1_1:Assign_3 ; PinCheckWorkflow_v1_1:Virtual_Flowchart_End_20 ; Create_Loan_Process_1:CheckedPin_24 ; Create_Loan_Process_1:Virtual_Flowchart_End_26 ; 
